weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000,1747222450,3600,2643743,London,200,-0.1257,51.5085,294.22,293.56,292.93,295.64,1020,45,1020,1016,2.24,101,4.02,9,2,268730,GB,1747195804,1747251827
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000,1747222107,3600,2643743,London,200,-0.1257,51.5085,293.9,293.26,292.6,295.36,1020,47,1020,1016,2.68,36,3.58,7,2,268730,GB,1747195804,1747251827
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000,1747222107,3600,2643743,London,200,-0.1257,51.5085,293.9,293.26,292.6,295.36,1020,47,1020,1016,2.68,36,3.58,7,2,268730,GB,1747195804,1747251827
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000,1747222107,3600,2643743,London,200,-0.1257,51.5085,293.9,293.26,292.6,295.36,1020,47,1020,1016,2.68,36,3.58,7,2,268730,GB,1747195804,1747251827
